N,PROFILE,FOLLOWERS,POSTS,Platform
9,TimTheTatman,6994697,NA,Twitch 
10,NICKMERCS ,6540633,NA,Twitch 
11,Dream,6047516,NA,Twitch 
12,AdinRoss ,5873745,NA,Twitch 
13,alanzoka ,5843207,NA,Twitch 
14,ESL_CSGO ,5526988,NA,Twitch 
15,Mongraal ,5239020,NA,Twitch 
16,Bugha ,5084551,NA,Twitch 
17,loltyler1 ,5033525,NA,Twitch 
18,Tubbo ,4917815,NA,Twitch 
19,GeorgeNotFound ,4829346,NA,Twitch 
20,ElSpreen ,4683364,NA,Twitch 
21,WilburSoot ,4573443,NA,Twitch 
22,Fresh,4476022,NA,Twitch 
23,RanbooLive ,4369464,NA,Twitch 
24,xQcOW ,4164752,NA,Twitch 
25,Philza ,4074041,NA,Twitch 
26,SLAKUN10 ,4037168,NA,Twitch 
27,Sykkuno,4033548,NA,Twitch 
28,Faker ,3849438,NA,Twitch 
29,Gotaga ,3670790,NA,Twitch 
30,Squeezie ,3614934,NA,Twitch 
31,Gaules ,3594823,NA,Twitch 
32,coscu ,3577250,NA,Twitch 
33,Clix ,3548355,NA,Twitch 
34,karljacobs ,3469785,NA,Twitch 
35,Elraenn ,3407910,NA,Twitch 
36,Asmongold ,3267875,NA,Twitch 
37,Amouranth ,3151328,NA,Twitch 
38,Alexby11 ,3146988,NA,Twitch 
39,ludwig,3136512,NA,Twitch 
40,buster ,3125548,NA,Twitch 
41,MissaSinfonia ,3116086,NA,Twitch 
42,QuackityHQ ,3089706,NA,Twitch 
43,Trymacs ,3069669,NA,Twitch 
44,IamCristinini ,3060175,NA,Twitch 
45,MontanaBlack88 ,3025471,NA,Twitch 
46,LIRIK ,2898083,NA,Twitch 
47,jacksepticeye ,2799824,NA,Twitch 
48,biyin_ ,2720743,NA,Twitch 
49,Nihachu ,2684804,NA,Twitch 
50,Staryuuki ,2660844,NA,Twitch 
51,lilypichu,2459116,NA,Twitch 
52,aXoZer ,2438304,NA,Twitch 
53,LITkillah ,2426822,NA,Twitch 
54,juansguarnizo ,2301844,NA,Twitch 
55,StableRonaldo_ ,2265402,NA,Twitch 
56,Twitch ,2262351,NA,Twitch 
57,Evelone192,2202177,NA,Twitch 
58,Reborn_Live ,2174515,NA,Twitch 
59,Perxitaa ,2170294,NA,Twitch 
60,Mizkif ,2081314,NA,Twitch 
61,pqueen ,2068579,NA,Twitch 
62,CaptainSparklez ,2040771,NA,Twitch 
63,Trainwreckstv ,2018898,NA,Twitch 
64,Yassuo ,1993853,NA,Twitch 
65,Locklear ,1862400,NA,Twitch 
66,DisguisedToast,1849885,NA,Twitch 
67,miniminter ,1778366,NA,Twitch 
68,PapoMC ,1775388,NA,Twitch 
69,wtcN ,1774208,NA,Twitch 
70,aroyitt ,1773486,NA,Twitch 
71,OverwatchLeague ,1767491,NA,Twitch 
72,Vicens ,1733508,NA,Twitch 
73,IzakOOO ,1721229,NA,Twitch 
74,Jahrein ,1674112,NA,Twitch 
75,DanTDM ,1666421,NA,Twitch 
76,NateHill ,1640757,NA,Twitch 
77,HasanAbi ,1630378,NA,Twitch 
78,Scarra ,1594992,NA,Twitch 
79,Gemita ,1578033,NA,Twitch 
80,CaptainPuffy ,1559591,NA,Twitch 
81,TheKAIRI78 ,1534189,NA,Twitch 
82,TSM_Bjergsen ,1509304,NA,Twitch 
83,Alinity ,1478896,NA,Twitch 
84,MarkiLokurasY ,1466343,NA,Twitch 
85,EmadGG ,1463690,NA,Twitch 
86,Domingo ,1453278,NA,Twitch 
87,FolagorLives ,1450178,NA,Twitch 
88,forsen ,1414311,NA,Twitch 
89,Mayichi ,1411861,NA,Twitch 
90,MrKeroro10 ,1359760,NA,Twitch 
91,Greekgodx ,1358155,NA,Twitch 
92,JaggerPrincesa ,1346284,NA,Twitch 
93,Pewdiepie ,1345762,NA,Twitch 
94,Corpse_Husband,1334278,NA,Twitch 
95,VEGETTA777 ,1323398,NA,Twitch 
96,landonorris ,1303704,NA,Twitch 
97,Zerkaa ,1303225,NA,Twitch 
98,ironmouse ,1294829,NA,Twitch 
99,bratishkinoff ,1289722,NA,Twitch 
100,itsHafu ,1279972,NA,Twitch 
1,charli d’amelio ,141200000,2211,TikTok
2,Khabane lame ,139700000,1055,TikTok
3,Bella Poarch ,89900000,470,TikTok
4,Addison Rae ,87700000,1683,TikTok
5,Will Smith ,72200000,136,TikTok
6,Zach King ,68600000,336,TikTok
7,Kimberly Loaiza ,63400000,1923,TikTok
8,TikTok ,62700000,342,TikTok
